event_time,Timestamp,UserID,SessionID,EventType,ProductID,Amount,Outcome
0 days 00:40:27.700000,40:27.7,3,7,add_to_cart,prod_5005,,
0 days 00:57:15.200000,57:15.2,3,7,product_view,prod_2741,,
0 days 00:09:03.100000,09:03.1,3,7,add_to_cart,prod_7092,,
0 days 00:04:27,04:27.0,3,7,purchase,prod_6899,427.3414061512343,purchase
0 days 00:35:51.700000,35:51.7,3,8,product_view,prod_7659,,
0 days 00:10:31.800000,10:31.8,3,8,add_to_cart,prod_3774,,
0 days 00:44:25.300000,44:25.3,3,8,logout,,,
0 days 00:14:32.200000,14:32.2,3,8,product_view,prod_5498,,
0 days 00:59:16.900000,59:16.9,3,8,click,,,
0 days 00:45:47.200000,45:47.2,3,9,page_view,,,
0 days 00:08:47.600000,08:47.6,3,9,page_view,,,
0 days 00:47:17.600000,47:17.6,3,9,page_view,,,
0 days 00:34:38.900000,34:38.9,3,9,logout,,,
0 days 00:22:46.900000,22:46.9,3,9,click,,,
0 days 00:57:30.400000,57:30.4,3,9,product_view,prod_3311,,
0 days 00:35:40.900000,35:40.9,3,10,click,,,
0 days 00:48:56.500000,48:56.5,3,10,add_to_cart,prod_8038,,
0 days 00:58:52.300000,58:52.3,3,10,click,,,
0 days 00:30:16.300000,30:16.3,3,10,add_to_cart,prod_4885,,
0 days 00:28:14.600000,28:14.6,3,10,add_to_cart,prod_2488,,
0 days 00:27:25.700000,27:25.7,3,10,page_view,,,
0 days 00:28:02.900000,28:02.9,3,10,product_view,prod_9691,,
0 days 00:49:22.400000,49:22.4,3,10,page_view,,,
0 days 00:19:12,19:12.0,3,10,add_to_cart,prod_6597,,
0 days 00:03:34.900000,03:34.9,3,10,product_view,prod_2022,,
0 days 00:02:34.400000,02:34.4,4,1,purchase,prod_1390,143.38775954510578,purchase
0 days 00:12:44.600000,12:44.6,4,1,logout,,,
0 days 00:50:41.500000,50:41.5,4,1,click,,,
0 days 00:37:02.600000,37:02.6,4,1,click,,,
0 days 00:59:48.100000,59:48.1,4,1,click,,,
0 days 00:43:54.600000,43:54.6,4,1,page_view,,,
0 days 00:27:38.800000,27:38.8,4,1,add_to_cart,prod_8561,,
0 days 00:46:00.600000,46:00.6,4,1,purchase,prod_2164,359.6841878144608,purchase
0 days 00:43:13.600000,43:13.6,4,1,page_view,,,
0 days 00:37:13.800000,37:13.8,4,2,add_to_cart,prod_6238,,
0 days 00:17:53.800000,17:53.8,4,2,logout,,,
0 days 00:19:06,19:06.0,4,2,page_view,,,
0 days 00:45:22.900000,45:22.9,4,2,page_view,,,
0 days 00:05:02.500000,05:02.5,4,2,login,,,
0 days 00:36:04.500000,36:04.5,4,3,add_to_cart,prod_9427,,
0 days 00:50:18.900000,50:18.9,4,3,login,,,
0 days 00:21:42.800000,21:42.8,4,3,add_to_cart,prod_7274,,
0 days 00:16:35.400000,16:35.4,4,3,add_to_cart,prod_1120,,
0 days 00:38:49.400000,38:49.4,4,3,product_view,prod_6752,,
0 days 00:02:05.200000,02:05.2,4,3,page_view,,,
0 days 00:18:06.400000,18:06.4,4,3,product_view,prod_4580,,
0 days 00:53:57.700000,53:57.7,4,3,page_view,,,
0 days 00:17:13.100000,17:13.1,4,3,click,,,
0 days 00:50:36.800000,50:36.8,4,4,page_view,,,
0 days 00:29:31.400000,29:31.4,4,4,logout,,,
0 days 00:43:23.200000,43:23.2,4,4,page_view,,,
0 days 00:08:51.900000,08:51.9,4,4,login,,,
0 days 00:34:38.100000,34:38.1,4,4,logout,,,
0 days 00:39:03,39:03.0,4,4,add_to_cart,prod_7843,,
0 days 00:39:57.600000,39:57.6,4,4,product_view,prod_1526,,
0 days 00:09:06.700000,09:06.7,4,4,purchase,prod_2837,420.4220392158971,purchase
0 days 00:33:59.800000,33:59.8,4,4,login,,,
0 days 00:01:59.200000,01:59.2,4,5,page_view,,,
0 days 00:19:44,19:44.0,4,5,product_view,prod_6197,,
0 days 00:37:27.300000,37:27.3,4,5,page_view,,,
0 days 00:30:36.900000,30:36.9,4,5,purchase,prod_6825,124.24200980482244,purchase
0 days 00:00:29.200000,00:29.2,4,5,logout,,,
0 days 00:57:55.300000,57:55.3,4,5,login,,,
0 days 00:07:35,07:35.0,4,5,page_view,,,
0 days 00:06:54.500000,06:54.5,4,5,add_to_cart,prod_2058,,
0 days 00:09:08.900000,09:08.9,4,5,add_to_cart,prod_1701,,
0 days 00:45:14.300000,45:14.3,4,5,login,,,
0 days 00:20:48.800000,20:48.8,4,6,login,,,
0 days 00:11:42.700000,11:42.7,4,6,click,,,
0 days 00:22:45.400000,22:45.4,4,6,login,,,
0 days 00:26:42,26:42.0,4,6,purchase,prod_4825,120.36236236814712,purchase
0 days 00:48:29.500000,48:29.5,4,6,login,,,
0 days 00:39:33,39:33.0,4,6,logout,,,
0 days 00:18:27.200000,18:27.2,4,6,logout,,,
0 days 00:59:33.200000,59:33.2,4,6,click,,,
0 days 00:30:26.700000,30:26.7,4,6,add_to_cart,prod_1650,,
0 days 00:54:10,54:10.0,4,6,logout,,,
0 days 00:57:57.200000,57:57.2,4,7,logout,,,
0 days 00:52:18.200000,52:18.2,4,7,add_to_cart,prod_1455,,
0 days 00:09:55.400000,09:55.4,4,7,purchase,prod_2508,203.42248717369745,purchase
0 days 00:49:32.900000,49:32.9,4,7,add_to_cart,prod_2653,,
0 days 00:51:29.500000,51:29.5,4,7,product_view,prod_5933,,
0 days 00:03:37.900000,03:37.9,4,8,page_view,,,
0 days 00:11:06.300000,11:06.3,4,8,page_view,,,
0 days 00:43:17.400000,43:17.4,4,8,login,,,
0 days 00:32:53.400000,32:53.4,4,8,product_view,prod_5984,,
0 days 00:27:41.900000,27:41.9,4,8,login,,,
0 days 00:31:14.200000,31:14.2,4,8,click,,,
0 days 00:40:13.300000,40:13.3,4,8,click,,,
0 days 00:31:20.400000,31:20.4,4,8,click,,,
0 days 00:44:04.300000,44:04.3,4,9,page_view,,,
0 days 00:39:42.900000,39:42.9,4,9,purchase,prod_2895,406.1402307,purchase
0 days 00:08:24.100000,08:24.1,4,9,add_to_cart,prod_4875,,
0 days 00:36:54.400000,36:54.4,4,9,product_view,prod_6383,,
0 days 00:39:11.700000,39:11.7,4,9,add_to_cart,prod_4376,,
0 days 00:54:37.500000,54:37.5,4,9,logout,,,
0 days 00:19:34.700000,19:34.7,4,9,logout,,,
0 days 00:06:58.700000,06:58.7,4,9,product_view,prod_3563,,
0 days 00:56:46.700000,56:46.7,4,10,logout,,,
0 days 00:28:28,28:28.0,4,10,page_view,,,
0 days 00:04:12.400000,04:12.4,4,10,login,,,
0 days 00:10:27.100000,10:27.1,4,10,add_to_cart,prod_6027,,
0 days 00:12:12.100000,12:12.1,4,10,page_view,,,
0 days 00:16:50.700000,16:50.7,4,10,page_view,,,
0 days 00:29:43.500000,29:43.5,4,10,login,,,
0 days 00:18:56.300000,18:56.3,4,10,product_view,prod_5613,,
0 days 00:29:30.500000,29:30.5,4,10,purchase,prod_3999,229.44406749652512,purchase
0 days 00:05:34.400000,05:34.4,4,10,purchase,prod_5193,315.72121405949315,purchase
0 days 00:22:36.200000,22:36.2,5,1,login,,,
0 days 00:35:21.600000,35:21.6,5,1,add_to_cart,prod_3324,,
0 days 00:06:14.600000,06:14.6,5,1,page_view,,,
0 days 00:10:56.200000,10:56.2,5,1,page_view,,,
0 days 00:16:48.800000,16:48.8,5,1,page_view,,,
0 days 00:30:44,30:44.0,5,1,login,,,
0 days 00:34:23.200000,34:23.2,5,1,page_view,,,
0 days 00:18:58.900000,18:58.9,5,1,add_to_cart,prod_8733,,
0 days 00:46:00.200000,46:00.2,5,2,add_to_cart,prod_6324,,
0 days 00:20:53.600000,20:53.6,5,2,product_view,prod_3788,,
0 days 00:43:17.100000,43:17.1,5,2,product_view,prod_1325,,
0 days 00:51:26.500000,51:26.5,5,2,product_view,prod_1749,,
0 days 00:18:05.800000,18:05.8,5,2,product_view,prod_7953,,
0 days 00:30:37.100000,30:37.1,5,2,add_to_cart,prod_8978,,
0 days 00:44:59.100000,44:59.1,5,2,click,,,
0 days 00:14:53.100000,14:53.1,5,3,logout,,,
0 days 00:40:22.400000,40:22.4,5,3,product_view,prod_1059,,
0 days 00:41:45.200000,41:45.2,5,3,login,,,
0 days 00:51:43.800000,51:43.8,5,3,click,,,
0 days 00:08:59.200000,08:59.2,5,3,page_view,,,
0 days 00:52:16.600000,52:16.6,5,3,click,,,
0 days 00:22:52.600000,22:52.6,5,3,logout,,,
0 days 00:37:02.400000,37:02.4,5,3,page_view,,,
0 days 00:54:18.100000,54:18.1,5,3,add_to_cart,prod_9020,,
0 days 00:39:25.400000,39:25.4,5,4,logout,,,
0 days 00:40:33.300000,40:33.3,5,4,page_view,,,
0 days 00:52:49.800000,52:49.8,5,4,purchase,prod_7247,217.8421813257225,purchase
0 days 00:17:20.400000,17:20.4,5,4,login,,,
0 days 00:17:03.800000,17:03.8,5,4,add_to_cart,prod_2399,,
0 days 00:34:21,34:21.0,5,4,click,,,
0 days 00:49:02.900000,49:02.9,5,4,click,,,
0 days 00:11:50.300000,11:50.3,5,4,logout,,,
0 days 00:14:02.900000,14:02.9,5,4,click,,,
0 days 00:12:18.100000,12:18.1,5,5,add_to_cart,prod_4126,,
0 days 00:47:31.700000,47:31.7,5,5,purchase,prod_7122,240.82031127483043,purchase
0 days 00:37:12.300000,37:12.3,5,5,click,,,
0 days 00:01:05.400000,01:05.4,5,5,product_view,prod_7121,,
0 days 00:50:24.800000,50:24.8,5,5,logout,,,
0 days 00:59:36.700000,59:36.7,5,5,page_view,,,
0 days 00:27:50.100000,27:50.1,5,5,purchase,prod_1811,407.5723091,purchase
0 days 00:38:00.400000,38:00.4,5,5,logout,,,
0 days 00:32:50.700000,32:50.7,5,5,click,,,
0 days 00:05:47.300000,05:47.3,5,6,page_view,,,
0 days 00:03:07.700000,03:07.7,5,6,product_view,prod_9646,,
0 days 00:59:51.800000,59:51.8,5,6,product_view,prod_5033,,
0 days 00:23:56.100000,23:56.1,5,6,click,,,
0 days 00:08:34.300000,08:34.3,5,6,click,,,
0 days 00:55:43.800000,55:43.8,5,6,purchase,prod_4495,462.4594770379176,purchase
0 days 00:31:48.700000,31:48.7,5,6,add_to_cart,prod_2371,,
0 days 00:28:28.700000,28:28.7,5,6,purchase,prod_7066,290.4469998,purchase
0 days 00:48:54.600000,48:54.6,5,6,login,,,
0 days 00:33:33.300000,33:33.3,5,6,add_to_cart,prod_8597,,
0 days 00:04:08.400000,04:08.4,5,7,logout,,,
0 days 00:44:46.900000,44:46.9,5,7,logout,,,
0 days 00:21:50.300000,21:50.3,5,7,click,,,
0 days 00:20:53.900000,20:53.9,5,7,logout,,,
0 days 00:06:07.700000,06:07.7,5,7,purchase,prod_7877,288.0795387810758,purchase
0 days 00:40:12.600000,40:12.6,5,7,product_view,prod_3983,,
0 days 00:40:21.500000,40:21.5,5,7,product_view,prod_8487,,
0 days 00:06:50.100000,06:50.1,5,7,add_to_cart,prod_8172,,
0 days 00:56:18.700000,56:18.7,5,7,logout,,,
0 days 00:17:31.700000,17:31.7,5,8,click,,,
0 days 00:48:32,48:32.0,5,8,add_to_cart,prod_6763,,
0 days 00:35:50.500000,35:50.5,5,8,logout,,,
0 days 00:45:00.500000,45:00.5,5,8,logout,,,
0 days 00:27:18,27:18.0,5,8,login,,,
0 days 00:55:27,55:27.0,5,8,page_view,,,
0 days 00:55:07,55:07.0,5,9,add_to_cart,prod_5815,,
0 days 00:31:02.500000,31:02.5,5,9,click,,,
0 days 00:43:52.300000,43:52.3,5,9,product_view,prod_1901,,
0 days 00:56:36,56:36.0,5,9,login,,,
0 days 00:44:06.800000,44:06.8,5,9,logout,,,
0 days 00:02:48.900000,02:48.9,5,9,page_view,,,
0 days 00:43:54.400000,43:54.4,5,9,add_to_cart,prod_6485,,
0 days 00:25:58.200000,25:58.2,5,10,page_view,,,
0 days 00:39:28.300000,39:28.3,5,10,click,,,
0 days 00:43:31.500000,43:31.5,5,10,product_view,prod_9807,,
0 days 00:50:16.300000,50:16.3,5,10,purchase,prod_4671,282.09552806787485,purchase
0 days 00:29:59,29:59.0,5,10,product_view,prod_5585,,
0 days 00:47:48,47:48.0,5,10,click,,,
0 days 00:48:09.900000,48:09.9,5,10,page_view,,,
0 days 00:07:37.100000,07:37.1,5,10,product_view,prod_3962,,
0 days 00:37:13.200000,37:13.2,5,10,login,,,
0 days 00:08:29.100000,08:29.1,5,10,page_view,,,
0 days 00:02:35.200000,02:35.2,6,1,page_view,,,
0 days 00:48:29.200000,48:29.2,6,1,page_view,,,
0 days 00:22:37,22:37.0,6,1,login,,,
0 days 00:10:49.500000,10:49.5,6,1,page_view,,,
0 days 00:03:31.600000,03:31.6,6,1,login,,,
0 days 00:57:49.700000,57:49.7,6,1,purchase,prod_5563,30.454456916699424,purchase
0 days 00:58:14.600000,58:14.6,6,1,add_to_cart,prod_8581,,
0 days 00:59:23.700000,59:23.7,6,2,logout,,,
0 days 00:52:51.900000,52:51.9,6,2,logout,,,
0 days 00:09:51.300000,09:51.3,6,2,click,,,
0 days 00:03:31.200000,03:31.2,6,2,logout,,,
0 days 00:54:59.700000,54:59.7,6,2,purchase,prod_8931,204.34636667922555,purchase
0 days 00:19:20.900000,19:20.9,6,2,add_to_cart,prod_1374,,
0 days 00:35:28.300000,35:28.3,6,2,page_view,,,
0 days 00:28:22.900000,28:22.9,6,2,logout,,,
0 days 00:01:57.800000,01:57.8,6,3,purchase,prod_5661,247.12842145320656,purchase
0 days 00:37:50.100000,37:50.1,6,3,login,,,
0 days 00:48:20.300000,48:20.3,6,3,page_view,,,
0 days 00:30:37.600000,30:37.6,6,3,click,,,
0 days 00:25:58.900000,25:58.9,6,3,click,,,
0 days 00:32:42.400000,32:42.4,6,3,login,,,
0 days 00:17:17.600000,17:17.6,6,3,login,,,
0 days 00:06:14.200000,06:14.2,6,3,login,,,
0 days 00:10:02.800000,10:02.8,6,4,logout,,,
0 days 00:35:50.600000,35:50.6,6,4,purchase,prod_1327,39.08100149064834,purchase
0 days 00:40:06.200000,40:06.2,6,4,purchase,prod_7389,107.50266718940392,purchase
0 days 00:05:08.600000,05:08.6,6,4,purchase,prod_2888,161.50191557300113,purchase
0 days 00:16:56.200000,16:56.2,6,4,purchase,prod_5281,365.6135529729263,purchase
0 days 00:44:00.900000,44:00.9,6,4,product_view,prod_3921,,
0 days 00:40:49.200000,40:49.2,6,4,purchase,prod_9588,268.34726298564857,purchase
0 days 00:37:56.200000,37:56.2,6,4,page_view,,,
0 days 00:17:48.600000,17:48.6,6,4,logout,,,
0 days 00:44:08.800000,44:08.8,6,5,login,,,
0 days 00:15:30.200000,15:30.2,6,5,logout,,,
0 days 00:31:04.200000,31:04.2,6,5,purchase,prod_6606,261.74479092293984,purchase
